<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240104 130000 273.8900000 274.2800000 273.8100000 274.1100000 479840
240104 133000 274.1100000 274.2400000 274.0000000 274.1100000 388710
240104 140000 274.1100000 274.1900000 274.0200000 274.1400000 173850
240104 143000 274.1400000 274.2800000 274.0000000 274.0900000 260020
240104 150000 274.1000000 274.1700000 274.0000000 274.0300000 182720
240104 153000 274.0400000 274.1200000 273.9600000 274.0600000 188560
240104 160000 274.0600000 274.0800000 273.8500000 274.0100000 447030
240104 163000 274.0000000 274.0600000 273.8000000 273.8000000 325280
240104 170000 273.8100000 273.9800000 273.8000000 273.8000000 181460
240104 173000 273.8100000 274.0000000 273.8000000 273.8900000 264180
240104 180000 273.8800000 273.9000000 273.8200000 273.8500000 155420
240104 183000 273.8400000 274.0400000 273.7100000 274.0400000 487160
240104 190000 274.1300000 274.2900000 273.7000000 274.2000000 374410
240104 193000 274.2000000 274.2500000 273.7200000 274.1100000 253690
240104 200000 274.0800000 274.0900000 273.9800000 274.0700000 52010
240104 203000 274.0800000 274.1800000 273.7900000 273.9800000 196260
240104 210000 273.9900000 274.2300000 273.9700000 274.2100000 242350
240104 213000 274.2000000 274.2400000 274.1100000 274.1100000 51210
240104 220000 274.1200000 274.2000000 274.1000000 274.1700000 50860
240104 223000 274.1200000 274.2000000 274.1000000 274.1100000 42110
240104 230000 274.1100000 274.1700000 274.0000000 274.1200000 115800
240104 233000 274.1300000 274.1400000 274.0200000 274.1200000 64490
240105 100000 274.3000000 274.6900000 274.1700000 274.6100000 750620
240105 103000 274.6000000 274.6500000 273.1300000 273.4400000 1182920
240105 110000 273.4300000 273.5800000 272.8000000 273.4600000 1617680
240105 113000 273.4700000 273.4700000 273.1500000 273.2800000 233520
240105 120000 273.2800000 273.5000000 273.0700000 273.4700000 346090
240105 123000 273.4800000 273.4800000 273.0600000 273.3300000 187030
240105 130000 273.3300000 273.6600000 273.1200000 273.5200000 633540
240105 133000 273.5200000 273.6500000 273.0000000 273.2100000 607620
240105 140000 273.2000000 273.5000000 273.1800000 273.4700000 135480
240105 143000 273.4700000 273.5000000 273.4000000 273.4300000 70760
240105 150000 273.4100000 273.5800000 273.1300000 273.4900000 435500
240105 153000 273.4900000 273.4900000 273.3200000 273.3700000 117570
240105 160000 273.3800000 273.4600000 273.3200000 273.4400000 95060
240105 163000 273.4300000 273.4800000 273.3500000 273.4400000 223560
240105 170000 273.4500000 273.4900000 273.1600000 273.2600000 327870
240105 173000 273.2500000 273.3500000 273.0300000 273.0800000 340790
240105 180000 273.1000000 273.3600000 273.0800000 273.3100000 321720
240105 183000 273.3200000 273.4600000 273.2100000 273.4600000 573710
240105 190000 273.2500000 273.5200000 273.2500000 273.4000000 348620
240105 193000 273.4000000 273.4300000 273.3300000 273.4000000 98650
240105 200000 273.4000000 273.4200000 273.2800000 273.3000000 136230
240105 203000 273.3000000 273.3900000 273.2400000 273.3700000 55740
240105 210000 273.3600000 273.4200000 273.2500000 273.3300000 161120
240105 213000 273.3100000 273.4100000 273.2500000 273.3700000 62410
240105 220000 273.3500000 273.4500000 273.3300000 273.3500000 63650
240105 223000 273.3500000 273.4900000 273.3500000 273.4900000 91990
240105 230000 273.4900000 273.5500000 273.4400000 273.5500000 173210
240105 233000 273.5500000 273.7000000 273.5200000 273.6200000 229720
240108 100000 273.5900000 275.3000000 273.5300000 275.1800000 3045820
240108 103000 275.1900000 275.4000000 274.9000000 275.0400000 1206680
240108 110000 275.0500000 275.1000000 274.6600000 274.8700000 1137790
240108 113000 274.8800000 274.9500000 274.6600000 274.7900000 510140
240108 120000 274.7800000 274.7900000 274.4000000 274.4100000 564700
240108 123000 274.4200000 274.7500000 274.3600000 274.6400000 279940
240108 130000 274.6400000 274.7800000 274.3600000 274.5000000 390210
240108 133000 274.5000000 275.2800000 274.4600000 275.0200000 1133290
240108 140000 275.0400000 276.3400000 274.9000000 276.2000000 2272790
240108 143000 276.2000000 276.5000000 275.8500000 276.4900000 1536480
240108 150000 276.5000000 277.0000000 276.2800000 276.9600000 2308850
240108 153000 276.9600000 276.9600000 276.4200000 276.6300000 566510
240108 160000 276.6200000 276.6900000 276.1700000 276.3500000 455620
240108 163000 276.3500000 276.4700000 276.1800000 276.3100000 465590
240108 170000 276.3000000 276.5000000 275.8100000 276.4500000 1054880
240108 173000 276.4600000 276.4800000 275.7300000 276.0100000 872820
240108 180000 276.0100000 276.0200000 275.7500000 275.9900000 507230
240108 183000 275.9900000 276.1200000 275.8100000 275.8100000 514270
240108 190000 275.8300000 276.5000000 275.8200000 276.4800000 449470
240108 193000 276.4800000 276.4800000 276.2000000 276.3200000 250130
240108 200000 276.3300000 276.3500000 276.2400000 276.2700000 105250
240108 203000 276.2700000 276.3200000 276.0800000 276.2000000 217220
240108 210000 276.2200000 276.3500000 276.1700000 276.2800000 157330
240108 213000 276.2700000 276.3700000 276.2000000 276.3600000 216320
240108 220000 276.3600000 276.4900000 276.3300000 276.4900000 498760
240108 223000 276.4800000 276.7300000 276.3800000 276.4900000 239280
240108 230000 276.5000000 276.6400000 276.4300000 276.6400000 208590
240108 233000 276.6400000 276.7700000 276.6100000 276.7600000 261490
240109 100000 276.9400000 278.0000000 275.7200000 275.9800000 2548700
240109 103000 275.9700000 276.0100000 275.3500000 275.8300000 2108420
240109 110000 275.8300000 275.8300000 275.0300000 275.4700000 1438300
240109 113000 275.4700000 275.5500000 275.2000000 275.4900000 930910
240109 120000 275.4900000 275.8300000 275.4500000 275.5700000 813120
240109 123000 275.5800000 275.7000000 275.3700000 275.4900000 525830
240109 130000 275.5000000 275.5000000 275.3700000 275.4400000 342580
240109 133000 275.4400000 275.5000000 275.2300000 275.3000000 586800
240109 140000 275.3000000 275.4200000 274.7100000 275.2700000 1445000
240109 143000 275.2700000 275.5000000 275.2700000 275.4900000 538990
240109 150000 275.4900000 275.5000000 275.0000000 275.2800000 492810
240109 153000 275.2600000 275.4500000 275.1000000 275.4500000 522330
240109 160000 275.4300000 275.5500000 275.3700000 275.4200000 494800
240109 163000 275.4300000 275.7900000 275.3900000 275.7400000 1061760
240109 170000 275.7400000 275.8100000 275.3900000 275.8100000 930320
240109 173000 275.8100000 276.0500000 275.7400000 275.9200000 1740030
240109 180000 275.9200000 276.2000000 275.7800000 275.8400000 1038280
240109 183000 275.8300000 276.0000000 275.7500000 276.0000000 387140
240109 190000 276.0000000 276.1900000 275.6400000 275.7600000 403980
240109 193000 275.7600000 275.8700000 275.7500000 275.8300000 130040
240109 200000 275.8200000 276.0000000 275.8200000 275.9600000 199450
240109 203000 275.9500000 276.0600000 275.9100000 275.9700000 132100
240109 210000 275.9900000 276.0400000 275.9100000 275.9500000 94540
240109 213000 275.9500000 275.9700000 275.8300000 275.9600000 114080
240109 220000 275.9500000 276.0300000 275.8800000 275.9900000 111670
240109 223000 275.9900000 276.0000000 275.8600000 275.8900000 83900
240109 230000 275.9600000 275.9600000 275.1800000 275.5000000 609260
240109 233000 275.5000000 275.5000000 275.0100000 275.2800000 437980
240110 100000 275.3000000 276.1600000 275.0600000 275.4500000 2046480
240110 103000 275.4300000 275.9400000 275.3000000 275.8800000 1269920
240110 110000 275.8800000 275.9000000 275.5600000 275.7500000 840530
240110 113000 275.7200000 275.9200000 275.6500000 275.7200000 813000
240110 120000 275.6900000 275.7500000 275.2000000 275.3800000 1443410
240110 123000 275.3600000 275.7100000 275.3200000 275.6800000 415890
240110 130000 275.6600000 275.7400000 275.3200000 275.3900000 455000
240110 133000 275.3900000 275.4700000 275.1000000 275.1200000 659690
240110 140000 275.1300000 275.3900000 275.1200000 275.3000000 481630
240110 143000 275.3000000 275.6000000 275.2400000 275.6000000 729390
240110 150000 275.6000000 276.0000000 275.5900000 275.9700000 1266430
240110 153000 275.9300000 275.9800000 275.7500000 275.8500000 399710
240110 160000 275.8600000 275.8900000 275.5100000 275.6300000 495050
240110 163000 275.6400000 275.7200000 275.2000000 275.2300000 675490
