<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240104 153000 601.8000000 602.0000000 601.5000000 602.0000000 15246
240104 160000 601.9500000 602.0000000 601.0500000 601.5500000 23230
240104 163000 601.5500000 601.8500000 601.0500000 601.7500000 19393
240104 170000 601.7500000 602.5000000 601.7500000 602.3000000 45168
240104 173000 602.3500000 602.5000000 602.0500000 602.1500000 11692
240104 180000 602.2000000 602.7000000 602.1000000 602.1500000 29835
240104 183000 602.1000000 602.2000000 601.2500000 601.2500000 35592
240104 190000 601.2500000 602.8000000 601.2500000 602.3500000 36597
240104 193000 602.4000000 602.9500000 601.5000000 602.2000000 30158
240104 200000 602.1500000 602.6000000 601.8500000 602.3000000 16771
240104 203000 602.3000000 602.6000000 602.0500000 602.1500000 17713
240104 210000 602.2000000 603.4000000 602.2000000 602.7000000 30697
240104 213000 602.7000000 602.9500000 601.6500000 602.3000000 27467
240104 220000 602.2500000 602.7000000 602.1000000 602.3500000 7970
240104 223000 602.4000000 602.5000000 602.1000000 602.4500000 3921
240104 230000 602.3500000 602.4500000 601.1500000 601.1500000 44906
240104 233000 601.2500000 601.5500000 601.0500000 601.1500000 20350
240105 100000 602.1000000 604.5500000 601.6500000 604.4000000 276197
240105 103000 604.4500000 605.5500000 604.0500000 604.3500000 205880
240105 110000 604.3500000 604.5000000 602.0000000 603.4000000 143651
240105 113000 603.4000000 603.5000000 602.3500000 603.2000000 49623
240105 120000 603.2000000 603.2000000 601.6500000 602.2000000 50695
240105 123000 602.2500000 602.2500000 599.0000000 600.5000000 219646
240105 130000 600.4500000 601.2500000 600.4500000 601.0000000 67040
240105 133000 600.9000000 600.9500000 599.9500000 600.8000000 41652
240105 140000 600.7500000 601.0000000 599.5000000 600.9000000 78610
240105 143000 600.9000000 601.0000000 600.4000000 600.6500000 39298
240105 150000 600.6500000 601.9500000 600.4500000 601.2000000 62867
240105 153000 601.2500000 601.5000000 600.9500000 601.5000000 13630
240105 160000 601.4500000 601.9000000 601.2000000 601.7000000 26561
240105 163000 601.7000000 602.3500000 601.6000000 602.2500000 57447
240105 170000 602.2500000 602.4500000 602.0000000 602.4000000 18103
240105 173000 602.3500000 602.4500000 602.1000000 602.1500000 18025
240105 180000 602.3000000 602.6500000 602.1000000 602.3500000 80362
240105 183000 602.4000000 602.4500000 602.3500000 602.4000000 33432
240105 190000 602.6000000 602.7500000 601.8500000 602.1500000 69663
240105 193000 602.1500000 602.4500000 601.5000000 602.2000000 20006
240105 200000 602.2500000 602.3000000 601.7000000 601.8000000 40573
240105 203000 601.8000000 602.0000000 601.6500000 602.0000000 17502
240105 210000 602.0000000 602.0500000 601.7000000 601.7000000 28020
240105 213000 601.8000000 602.1500000 601.6500000 602.0000000 29649
240105 220000 602.0500000 603.6500000 602.0000000 603.0000000 66233
240105 223000 603.0500000 603.8000000 603.0000000 603.4000000 55819
240105 230000 603.3500000 603.9500000 603.3000000 603.4500000 52488
240105 233000 603.4500000 604.3000000 603.4000000 604.0500000 99599
240108 100000 605.0000000 606.9500000 600.8000000 603.6000000 297529
240108 103000 603.5500000 604.1500000 603.2000000 603.7500000 85909
240108 110000 603.9000000 603.9500000 601.7000000 603.0500000 134313
240108 113000 603.0500000 603.2500000 602.4000000 602.8500000 33237
240108 120000 602.9500000 603.4500000 602.2500000 602.5000000 59923
240108 123000 602.5000000 602.6000000 600.5000000 601.3000000 135122
240108 130000 601.3000000 601.8500000 601.2500000 601.5000000 40249
240108 133000 601.6000000 601.6000000 601.0500000 601.4000000 44114
240108 140000 601.4500000 602.0000000 601.2500000 601.7000000 53181
240108 143000 601.8500000 602.2500000 601.4000000 601.7000000 61797
240108 150000 601.7000000 602.4500000 601.5000000 602.2000000 55612
240108 153000 602.2000000 602.4500000 601.9500000 602.0000000 56923
240108 160000 602.0000000 602.0000000 601.4000000 601.5500000 42122
240108 163000 601.5500000 601.9500000 600.8000000 601.2500000 86180
240108 170000 601.3000000 601.5000000 601.0000000 601.3000000 31999
240108 173000 601.3000000 601.6000000 600.7500000 601.5000000 52269
240108 180000 601.6000000 602.2000000 601.5000000 602.1500000 50838
