<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240105 203000 1478.8000000 1479.0000000 1478.2000000 1478.2000000 868
240105 210000 1478.8000000 1478.8000000 1477.0000000 1478.2000000 2061
240105 213000 1478.2000000 1480.0000000 1477.0000000 1479.2000000 17375
240105 220000 1479.2000000 1481.4000000 1479.2000000 1480.4000000 3911
240105 223000 1480.4000000 1481.2000000 1478.4000000 1479.6000000 1238
240105 230000 1479.8000000 1480.4000000 1477.6000000 1477.8000000 4760
240105 233000 1478.0000000 1480.8000000 1477.6000000 1480.4000000 1727
240108 100000 1480.6000000 1488.8000000 1480.6000000 1485.6000000 14872
240108 103000 1485.6000000 1488.0000000 1482.4000000 1488.0000000 20479
240108 110000 1488.0000000 1493.0000000 1487.0000000 1492.0000000 27495
240108 113000 1491.4000000 1493.6000000 1489.0000000 1491.2000000 24732
240108 120000 1491.2000000 1491.4000000 1486.0000000 1486.6000000 21830
240108 123000 1486.4000000 1488.2000000 1485.0000000 1486.8000000 20485
240108 130000 1486.8000000 1487.6000000 1485.2000000 1486.0000000 20790
240108 133000 1485.6000000 1492.2000000 1484.0000000 1491.6000000 30649
240108 140000 1491.4000000 1491.8000000 1487.0000000 1488.6000000 17745
240108 143000 1488.0000000 1488.8000000 1485.8000000 1487.0000000 18655
240108 150000 1487.0000000 1488.8000000 1485.8000000 1486.8000000 20204
240108 153000 1486.2000000 1486.8000000 1484.0000000 1485.4000000 29158
240108 160000 1485.4000000 1485.8000000 1484.0000000 1485.8000000 18212
240108 163000 1485.8000000 1485.8000000 1481.4000000 1482.6000000 18236
240108 170000 1482.4000000 1484.2000000 1481.0000000 1482.0000000 14247
240108 173000 1481.6000000 1485.0000000 1481.2000000 1482.8000000 32287
240108 180000 1482.8000000 1484.2000000 1482.2000000 1483.4000000 46395
240108 183000 1483.2000000 1485.0000000 1482.0000000 1482.0000000 15959
240108 190000 1482.2000000 1485.0000000 1480.8000000 1482.4000000 4708
240108 193000 1482.0000000 1482.8000000 1481.6000000 1482.0000000 2219
240108 200000 1482.4000000 1482.6000000 1480.4000000 1481.0000000 7076
240108 203000 1481.0000000 1482.6000000 1480.8000000 1482.4000000 2262
240108 210000 1482.4000000 1482.4000000 1480.8000000 1482.0000000 3249
240108 213000 1482.0000000 1483.0000000 1481.6000000 1483.0000000 1611
240108 220000 1483.0000000 1485.4000000 1482.4000000 1484.0000000 7446
240108 223000 1484.0000000 1486.4000000 1483.4000000 1486.4000000 1788
240108 230000 1485.6000000 1487.2000000 1485.4000000 1486.6000000 2182
240108 233000 1486.8000000 1487.4000000 1485.4000000 1487.2000000 2920
240109 100000 1490.0000000 1490.0000000 1479.8000000 1482.0000000 33970
240109 103000 1482.2000000 1482.2000000 1474.2000000 1478.0000000 36604
240109 110000 1478.2000000 1478.2000000 1474.4000000 1476.4000000 42930
240109 113000 1476.4000000 1478.0000000 1475.8000000 1477.6000000 20232
240109 120000 1477.6000000 1483.0000000 1476.6000000 1480.0000000 29719
240109 123000 1480.2000000 1481.0000000 1476.4000000 1478.6000000 22877
240109 130000 1478.4000000 1478.4000000 1475.0000000 1476.2000000 24868
240109 133000 1476.4000000 1486.0000000 1476.0000000 1483.2000000 79548
240109 140000 1483.2000000 1484.0000000 1480.8000000 1483.0000000 23185
240109 143000 1483.0000000 1498.0000000 1483.0000000 1494.8000000 93302
240109 150000 1494.8000000 1495.0000000 1488.8000000 1489.8000000 21941
240109 153000 1489.2000000 1492.0000000 1487.6000000 1490.8000000 29828
240109 160000 1491.0000000 1491.4000000 1489.2000000 1489.8000000 21440
240109 163000 1489.8000000 1490.4000000 1487.6000000 1489.8000000 20879
240109 170000 1489.8000000 1492.0000000 1489.8000000 1491.6000000 25090
240109 173000 1491.0000000 1492.0000000 1490.4000000 1491.8000000 43038
240109 180000 1491.8000000 1494.0000000 1490.8000000 1492.6000000 23464
240109 183000 1493.0000000 1494.6000000 1484.0000000 1484.0000000 62166
240109 190000 1485.2000000 1485.8000000 1484.0000000 1484.8000000 22770
240109 193000 1484.8000000 1485.4000000 1481.6000000 1483.4000000 16619
240109 200000 1483.6000000 1485.0000000 1483.2000000 1484.8000000 8455
240109 203000 1484.6000000 1485.8000000 1484.2000000 1485.6000000 4605
240109 210000 1485.4000000 1490.0000000 1485.2000000 1489.2000000 13770
240109 213000 1489.0000000 1492.0000000 1488.8000000 1491.4000000 17208
240109 220000 1492.0000000 1492.0000000 1490.6000000 1491.6000000 20034
240109 223000 1491.6000000 1492.0000000 1490.6000000 1491.4000000 24787
240109 230000 1491.6000000 1491.8000000 1491.2000000 1491.6000000 4203
240109 233000 1491.8000000 1491.8000000 1486.4000000 1489.0000000 9581
240110 100000 1489.2000000 1504.4000000 1489.2000000 1495.0000000 104917
240110 103000 1495.0000000 1502.0000000 1494.2000000 1499.0000000 78087
240110 110000 1499.0000000 1503.0000000 1498.2000000 1502.4000000 114414
240110 113000 1501.8000000 1503.0000000 1500.0000000 1501.8000000 46162
240110 120000 1502.0000000 1506.6000000 1493.6000000 1499.8000000 103947
240110 123000 1499.8000000 1502.8000000 1497.8000000 1501.8000000 33108
240110 130000 1501.8000000 1506.0000000 1501.2000000 1504.8000000 38397
240110 133000 1504.8000000 1508.8000000 1503.8000000 1508.8000000 45006
240110 140000 1508.8000000 1518.0000000 1507.4000000 1515.0000000 119202
240110 143000 1515.0000000 1516.0000000 1513.4000000 1515.6000000 44445
240110 150000 1515.6000000 1517.8000000 1514.8000000 1517.6000000 51097
240110 153000 1517.6000000 1522.6000000 1516.2000000 1521.6000000 76185
240110 160000 1522.0000000 1522.6000000 1513.8000000 1518.6000000 85046
240110 163000 1519.2000000 1520.4000000 1514.0000000 1514.2000000 60210
240110 170000 1514.8000000 1515.0000000 1509.2000000 1513.8000000 74254
240110 173000 1513.6000000 1516.0000000 1513.0000000 1516.0000000 54592
240110 180000 1516.0000000 1518.0000000 1510.8000000 1511.8000000 94747
240110 183000 1512.0000000 1512.2000000 1504.0000000 1504.0000000 60088
240110 190000 1506.4000000 1511.2000000 1505.4000000 1510.4000000 18611
240110 193000 1510.4000000 1513.8000000 1510.2000000 1512.6000000 8738
240110 200000 1512.6000000 1513.2000000 1510.6000000 1513.2000000 6292
240110 203000 1513.2000000 1513.8000000 1512.0000000 1512.6000000 5823
240110 210000 1512.6000000 1513.0000000 1510.8000000 1511.2000000 2977
240110 213000 1511.0000000 1513.0000000 1510.0000000 1512.8000000 6017
240110 220000 1512.6000000 1514.8000000 1512.6000000 1513.6000000 2288
240110 223000 1513.6000000 1515.8000000 1513.4000000 1515.8000000 6699
240110 230000 1515.6000000 1516.0000000 1515.2000000 1515.8000000 2923
240110 233000 1516.0000000 1516.0000000 1512.2000000 1513.0000000 3730
240111 100000 1515.2000000 1520.0000000 1507.2000000 1512.4000000 43249
240111 103000 1512.8000000 1513.8000000 1500.2000000 1504.0000000 69502
240111 110000 1503.2000000 1506.6000000 1500.0000000 1500.8000000 68156
240111 113000 1501.4000000 1504.2000000 1500.4000000 1501.6000000 47156
240111 120000 1501.4000000 1502.4000000 1500.2000000 1500.8000000 47797
240111 123000 1500.8000000 1502.4000000 1500.4000000 1501.0000000 49262
240111 130000 1501.0000000 1502.8000000 1500.2000000 1501.2000000 58512
240111 133000 1501.4000000 1501.4000000 1493.6000000 1501.0000000 102688
240111 140000 1501.0000000 1503.4000000 1497.8000000 1500.0000000 74921
240111 143000 1500.4000000 1513.8000000 1499.4000000 1508.4000000 85533
240111 150000 1508.0000000 1508.4000000 1502.0000000 1502.4000000 74069
240111 153000 1502.4000000 1507.4000000 1501.2000000 1501.6000000 42555
240111 160000 1501.6000000 1507.0000000 1497.0000000 1503.4000000 75957
240111 163000 1503.4000000 1503.8000000 1497.8000000 1498.2000000 45089
240111 170000 1499.0000000 1500.0000000 1495.8000000 1499.2000000 56853
240111 173000 1499.2000000 1500.4000000 1496.2000000 1498.4000000 67322
240111 180000 1498.4000000 1502.6000000 1497.6000000 1502.6000000 52028
240111 183000 1501.8000000 1506.8000000 1501.2000000 1506.8000000 30868
240111 190000 1506.6000000 1508.0000000 1502.2000000 1504.2000000 14230
240111 193000 1504.2000000 1505.0000000 1502.2000000 1504.8000000 6289
240111 200000 1504.8000000 1506.4000000 1503.6000000 1505.6000000 4694
240111 203000 1505.6000000 1507.2000000 1505.0000000 1505.4000000 8176
240111 210000 1505.6000000 1505.6000000 1504.2000000 1505.0000000 4579
240111 213000 1504.6000000 1506.2000000 1504.0000000 1505.2000000 4636
240111 220000 1505.2000000 1505.2000000 1504.0000000 1504.2000000 1226
240111 223000 1504.4000000 1505.0000000 1502.8000000 1504.0000000 2708
240111 230000 1504.0000000 1507.2000000 1502.0000000 1506.6000000 7847
240111 233000 1506.8000000 1507.0000000 1505.4000000 1505.4000000 2382
240112 100000 1508.0000000 1509.2000000 1500.0000000 1503.2000000 48896
240112 103000 1503.2000000 1503.8000000 1499.0000000 1499.4000000 39998
240112 110000 1499.4000000 1504.0000000 1499.0000000 1503.0000000 49551
240112 113000 1503.4000000 1504.0000000 1501.2000000 1503.6000000 24800
240112 120000 1503.4000000 1504.0000000 1501.2000000 1502.6000000 16153
240112 123000 1502.2000000 1504.0000000 1501.0000000 1501.6000000 23445
240112 130000 1501.4000000 1503.0000000 1501.0000000 1502.0000000 8406
240112 133000 1501.8000000 1502.6000000 1500.4000000 1501.2000000 12082
240112 140000 1501.2000000 1503.2000000 1500.4000000 1502.4000000 19190
240112 143000 1502.4000000 1502.6000000 1497.6000000 1498.8000000 38110
240112 150000 1498.8000000 1503.0000000 1498.4000000 1502.4000000 25119
240112 153000 1502.6000000 1503.6000000 1501.0000000 1501.8000000 11837
240112 160000 1501.6000000 1502.2000000 1500.2000000 1501.6000000 10015
240112 163000 1501.8000000 1501.8000000 1498.8000000 1500.0000000 12259
240112 170000 1500.0000000 1501.0000000 1498.0000000 1499.6000000 18863
240112 173000 1499.6000000 1504.0000000 1499.4000000 1503.4000000 18613
